address,emails,google_maps_url,name,phone,phones,rating,social_media,website
N/A,[],"https://www.google.com/maps/search/Brazillian+Restaurant+charlotte/@35.1291605,-80.8052317,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Results,N/A,[],4.6,{},N/A
N/A,[],"https://www.google.com/maps/search/Brazillian+Restaurant+charlotte/@35.1291605,-80.8052317,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Results,N/A,[],4.6,{},N/A
"401 E M.L.K. Jr Blvd #306, Charlotte, NC 28202",[],"https://www.google.com/maps/place/Estampa+Gaucha+Brazilian+Steakhouse/@35.2222326,-80.9954242,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x8856a164c9709027:0x811076b65901ac8d!8m2!3d35.2222326!4d-80.8429889!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEUYnJhemlsaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkVNalZwWkRCQlJSQUKqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAPoBBAgAED8!16s%2Fg%2F11h4s39x_q?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Estampa Gaucha Brazilian Steakhouse,N/A,[],4.3,{},http://www.estampagaucha.com/
"139 S Tryon St, Charlotte, NC 28202",[],"https://www.google.com/maps/place/Chima+Steakhouse/@35.2222326,-80.9954242,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x8856a02f70710fc9:0xf5fbcbc95c211679!8m2!3d35.2263043!4d-80.8439491!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgELc3RlYWtfaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkNiSEJUVDFWQkVBRaoBawoJL20vMDEyeTJoEAEqGCIUYnJhemlsaWFuIHJlc3RhdXJhbnQoADIeEAEiGsFgT-tSbq7-iqBxP4MmN0dYvq3q3tincQYaMiIQAiIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRl4AEA-gEECAAQSg!16s%2Fg%2F1hbpws96j?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Chima Steakhouse,N/A,[],4.6,{},http://www.chimasteakhouse.com/
"401 E M.L.K. Jr Blvd #306, Charlotte, NC 28202",[],"https://www.google.com/maps/place/Estampa+Gaucha+Brazilian+Steakhouse/@35.2222326,-80.9954242,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x8856a164c9709027:0x811076b65901ac8d!8m2!3d35.2222326!4d-80.8429889!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEUYnJhemlsaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkVNalZwWkRCQlJSQUKqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAPoBBAgAED8!16s%2Fg%2F11h4s39x_q?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Estampa Gaucha Brazilian Steakhouse,N/A,[],4.3,{},http://www.estampagaucha.com/
"1605 Galleria Blvd #100, Charlotte, NC 28270",[],"https://www.google.com/maps/place/Rios+Brazilian+Steakhouse/@35.2222326,-80.9954242,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x885421a8a37ee239:0x57c0e11734a8d6b6!8m2!3d35.1352233!4d-80.7364196!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgELc3RlYWtfaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhOazlNTWt4bkVBRaoBawoJL20vMDEyeTJoEAEqGCIUYnJhemlsaWFuIHJlc3RhdXJhbnQoADIeEAEiGsFgT-tSbq7-iqBxP4MmN0dYvq3q3tincQYaMiIQAiIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRl4AEA-gEECAAQRw!16s%2Fg%2F11hdw9qh48?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Rios Brazilian Steakhouse,N/A,[],4.1,{},http://www.riosbraziliansteakhouse.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14726574103211353755
"1431 Sardis Rd N, Charlotte, NC 28270",[],"https://www.google.com/maps/place/BR+Cafe+-+Brazilian+Restaurant/@35.2222326,-80.9954242,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x8854219cf8deb45f:0xbdbe2268c0cd5606!8m2!3d35.138951!4d-80.7406832!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEUYnJhemlsaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlNOelZ4VVRKQlJSQUKqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAPoBBAgAEDk!16s%2Fg%2F11kgmc3cq8?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",BR Cafe - Brazilian Restaurant,N/A,[],4.4,{},http://brcafecharlotte.com/
"16049 Johnston Rd K, Charlotte, NC 28277",['BrazilianEatsAndTreats@gmail.com'],"https://www.google.com/maps/place/Brazilian+Eats+%26+Treats/@35.02933,-81.0025953,12z/data=!3m1!5s0x885682b76f4fca0d:0xf7180c41110560f7!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x8856839e94ccbc79:0xc439840340458faa!8m2!3d35.02933!4d-80.85016!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEGYmFrZXJ5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40ZEMxNllrUjNFQUWqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAPoBBAgAECw!16s%2Fg%2F11sxwrg1sb?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Brazilian Eats & Treats,N/A,[],4.9,"{'facebook': 'facebook.com/marciajames2020', 'instagram': 'instagram.com/brazilianeatsandtreats'}",https://brazilianeatsandtreats.com/
"6115 Guildford Hill Ln, Charlotte, NC 28215",[],"https://www.google.com/maps/place/Blessed+Bits/@35.2289909,-80.887653,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x88541ff26359f0ef:0x3e6463dc7b1c9e51!8m2!3d35.2289909!4d-80.7352177!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEUYnJhemlsaWFuX3Jlc3RhdXJhbnSqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAA!16s%2Fg%2F11xh1tfyxc?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Blessed Bits,N/A,[],4.6,{},N/A
"1640 Oakhurst Commons Dr Suite 105, Charlotte, NC 28205",[],"https://www.google.com/maps/place/The+Teal+Turnip/@35.2289909,-80.887653,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x885421f032657bcf:0xecb5848ae502d640!8m2!3d35.1942376!4d-80.7823579!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOR01HTjVUR1JuRUFFqgFrCgkvbS8wMTJ5MmgQASoYIhRicmF6aWxpYW4gcmVzdGF1cmFudCgAMh4QASIawWBP61Jurv6KoHE_gyY3R1i-rere2KdxBhoyIhACIh5icmF6aWxpYW4gcmVzdGF1cmFudCBjaGFybG90dGXgAQD6AQQIABA1!16s%2Fg%2F11s7t64100?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",The Teal Turnip,N/A,[],4.7,{},http://www.thetealturnipclt.com/
"1920 Sardis Rd N, Charlotte, NC 28270",['contact@brazilianwayrestaurant.com'],"https://www.google.com/maps/place/Brazilian+Way/@35.2289909,-80.887653,12z/data=!4m10!1m2!2m1!1sBrazillian+Restaurant+charlotte!3m6!1s0x885421e4f830558b:0x1e676e1a9e5e4a8c!8m2!3d35.1415939!4d-80.7333515!15sCh5CcmF6aWxpYW4gUmVzdGF1cmFudCBjaGFybG90dGVaICIeYnJhemlsaWFuIHJlc3RhdXJhbnQgY2hhcmxvdHRlkgEDYmFymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5zYm1GbVpFeDNFQUWqAWsKCS9tLzAxMnkyaBABKhgiFGJyYXppbGlhbiByZXN0YXVyYW50KAAyHhABIhrBYE_rUm6u_oqgcT-DJjdHWL6t6t7Yp3EGGjIiEAIiHmJyYXppbGlhbiByZXN0YXVyYW50IGNoYXJsb3R0ZeABAPoBBAgmEEk!16s%2Fg%2F11l2x78prt?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D",Brazilian Way,N/A,[],4.4,{},http://www.brazilianwayrestaurant.com/
